election_year,state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,election_result_id,state_id
2014,Telangana,Adilabad,"Godam Nagesh",M,49,ST,TRS,Car,425762,5085,430847,1386282,1,NULL
2014,Telangana,Adilabad,Naresh,M,37,ST,INC,Hand,257994,1563,259557,1386282,2,NULL
2014,Telangana,Adilabad,"Ramesh Rathod",M,48,ST,TDP,Bicycle,182879,1319,184198,1386282,3,NULL
2014,Telangana,Adilabad,"Rathod Sadashiv",M,55,ST,BSP,Elephant,94363,57,94420,1386282,4,NULL
2014,Telangana,Adilabad,"Nethawath Ramdas",M,44,ST,IND,"Auto- Rickshaw",41028,4,41032,1386282,5,NULL
2014,Telangana,Adilabad,"Pawar Krishna",M,33,ST,IND,Bat,5051,4,5055,1386282,6,NULL
2014,Telangana,Adilabad,"Banka Sahadev",M,53,ST,IND,"Gas Cylinder",4780,7,4787,1386282,7,NULL
2014,Telangana,Adilabad,"Mosali Chinnaiah",M,40,ST,IND,Almirah,8842,17,8859,1386282,8,NULL
2014,Telangana,Adilabad,NOTA,Unknown,46,Unknown,NOTA,NOTA,17021,63,17084,1386282,9,NULL
2014,"Uttar Pradesh",Agra,"Upendra Singh",M,43,SC,INC,Hand,34795,39,34834,1814739,10,NULL
2014,"Uttar Pradesh",Agra,"Narayan Singh Suman",M,60,SC,BSP,Elephant,283261,192,283453,1814739,11,NULL
2014,"Uttar Pradesh",Agra,"Maharaj Singh Dhangar",M,46,SC,SP,Bicycle,134650,58,134708,1814739,12,NULL
2014,"Uttar Pradesh",Agra,"Dr. Ram Shankar Katheria",M,49,SC,BJP,Lotus,583141,575,583716,1814739,13,NULL
2014,"Uttar Pradesh",Agra,Anil,M,38,SC,BKPP,Television,3645,1,3646,1814739,14,NULL
2014,"Uttar Pradesh",Agra,Anita,F,31,SC,VIP,"Gas Cylinder",765,0,765,1814739,15,NULL
2014,"Uttar Pradesh",Agra,"Chandra Pal",M,66,SC,"A S P","Walking Stick",557,0,557,1814739,16,NULL
2014,"Uttar Pradesh",Agra,"Prem Singh",M,61,SC,BMUP,Cot,770,1,771,1814739,17,NULL
2014,"Uttar Pradesh",Agra,Ramesh,M,59,SC,JD(U),Arrow,602,0,602,1814739,18,NULL
2014,"Uttar Pradesh",Agra,"Ravindra Singh",M,38,SC,AAAP,Broom,7785,19,7804,1814739,19,NULL
2014,"Uttar Pradesh",Agra,"Amar Singh",M,38,SC,IND,Coconut,2450,3,2453,1814739,20,NULL
2014,"Uttar Pradesh",Agra,"Ashok Kumar",M,30,SC,IND,Almirah,1416,0,1416,1814739,21,NULL
2014,"Uttar Pradesh",Agra,"Om Prakash",M,51,SC,IND,Kettle,4242,1,4243,1814739,22,NULL
2014,"Uttar Pradesh",Agra,"Dinesh Kumar Gautam",M,41,SC,IND,"Auto- Rickshaw",3656,1,3657,1814739,23,NULL
2014,"Uttar Pradesh",Agra,"Vinod Kumar Singh",M,56,SC,IND,FLUTE,2583,1,2584,1814739,24,NULL
2014,"Uttar Pradesh",Agra,NOTA,Unknown,46,Unknown,NOTA,NOTA,5185,6,5191,1814739,25,NULL
2014,Maharashtra,Ahmednagar,"Kakade Kisan Yashwant",M,40,GEN,BSP,Elephant,8381,5,8386,1705005,26,NULL
2014,Maharashtra,Ahmednagar,"Gandhi Dilipkumar Mansukhlal",M,64,GEN,BJP,Lotus,603976,1209,605185,1705005,27,NULL
2014,Maharashtra,Ahmednagar,"Rajeev Appasaheb Rajale",M,44,GEN,NCP,Clock,395569,494,396063,1705005,28,NULL
2014,Maharashtra,Ahmednagar,"H.B.P. Ajay Sahebrao Baraskar Maharaj",M,35,GEN,BMUP,Cot,6000,3,6003,1705005,29,NULL
2014,Maharashtra,Ahmednagar,"Damale Shivajirao Waman",M,58,GEN,bns,"Dish Antenna",1384,1,1385,1705005,30,NULL
2014,Maharashtra,Ahmednagar,"Deepali Sayyed",F,36,GEN,AAAP,Broom,7098,22,7120,1705005,31,NULL
2014,Maharashtra,Ahmednagar,"Popat Manik Fule",M,34,SC,MPS(T),Bat,1059,2,1061,1705005,32,NULL
2014,Maharashtra,Ahmednagar,"Anil Jaysing Ghanvat",M,55,GEN,IND,Kettle,3086,0,3086,1705005,33,NULL
2014,Maharashtra,Ahmednagar,"Kolsepatil Baban Gangadhar",M,73,GEN,IND,"Cup & Saucer",12659,24,12683,1705005,34,NULL
2014,Maharashtra,Ahmednagar,"Deshmukh Vikas Nanasaheb",M,38,GEN,IND,Coconut,2202,0,2202,1705005,35,NULL
2014,Maharashtra,Ahmednagar,"Petras Kisan Gaware",M,61,SC,IND,Telephone,2524,1,2525,1705005,36,NULL
2014,Maharashtra,Ahmednagar,"Laxman Bhanudas Sonale",M,46,GEN,IND,Kite,3497,0,3497,1705005,37,NULL
2014,Maharashtra,Ahmednagar,"Shridhar Jakhuji Darekar",M,58,GEN,IND,"Ceiling Fan",5648,1,5649,1705005,38,NULL
2014,Maharashtra,Ahmednagar,NOTA,Unknown,46,Unknown,NOTA,NOTA,7468,5,7473,1705005,39,NULL
2014,Gujarat,"Ahmedabad East","Patel Himmatsingh Prahladsingh",M,52,GEN,INC,Hand,304769,2180,306949,1601832,40,NULL
2014,Gujarat,"Ahmedabad East","Paresh Rawal",M,59,GEN,BJP,Lotus,630869,2713,633582,1601832,41,NULL
2014,Gujarat,"Ahmedabad East","Rohit Rajubhai Virjibhai Alias Manojbhai Sontariya",M,35,SC,BSP,Elephant,5970,53,6023,1601832,42,NULL
2014,Gujarat,"Ahmedabad East","Aditya Raval",M,45,GEN,VHS,Batsman,985,2,987,1601832,43,NULL
2014,Gujarat,"Ahmedabad East","Khalifa Samsuddin Nasiruddin (Jugnu)",M,50,GEN,ABCD(A),Candles,866,29,895,1601832,44,NULL
2014,Gujarat,"Ahmedabad East","Dutt Aakash - Advocate",M,41,GEN,JD(U),Arrow,555,3,558,1601832,45,NULL
2014,Gujarat,"Ahmedabad East","Dinesh Vaghela",M,62,GEN,AAAP,Broom,11208,141,11349,1601832,46,NULL
2014,Gujarat,"Ahmedabad East","Naranbhai T. Sengal (Dr.N.T.Sengal)",M,62,SC,BSDL,"Cup & Saucer",778,4,782,1601832,47,NULL
2014,Gujarat,"Ahmedabad East","Buddhpriya Jasvant Somabhai",M,68,SC,PAP,Bat,686,12,698,1601832,48,NULL
2014,Gujarat,"Ahmedabad East","Vijaykumar M. Vadhel",M,43,SC,HND,"Battery Torch",687,17,704,1601832,49,NULL
2014,Gujarat,"Ahmedabad East","Atikbhai Mev",M,47,GEN,IND,Kite,1091,3,1094,1601832,50,NULL
2014,Gujarat,"Ahmedabad East","Anilkumar Sharma",M,60,GEN,IND,Bread,1199,2,1201,1601832,51,NULL
2014,Gujarat,"Ahmedabad East","Dashrathbhai M. Devda",M,51,GEN,IND,"Auto- Rickshaw",2296,3,2299,1601832,52,NULL
2014,Gujarat,"Ahmedabad East","Roshan Priyavadan Shah",M,39,GEN,IND,CALCULATOR,4045,1,4046,1601832,53,NULL
2014,Gujarat,"Ahmedabad East",NOTA,Unknown,46,Unknown,NOTA,NOTA,14261,97,14358,1601832,54,NULL
2014,Gujarat,"Ahmedabad West","Ishwarbahi Dhanabhai Makwana",M,63,SC,INC,Hand,295202,1591,296793,1534400,55,NULL
2014,Gujarat,"Ahmedabad West","Dr. Kirit P Solanki",M,64,SC,BJP,Lotus,614892,2212,617104,1534400,56,NULL
2014,Gujarat,"Ahmedabad West","Chavda Mansukhbhai Nagarbhai",M,57,SC,BSP,Elephant,6180,25,6205,1534400,57,NULL
2014,Gujarat,"Ahmedabad West","Amrut Sonara",M,49,SC,BSDL,Kite,937,4,941,1534400,58,NULL
2014,Gujarat,"Ahmedabad West","Narendra Sankhaliya",M,52,SC,LSWP,Candles,1378,13,1391,1534400,59,NULL
2014,Gujarat,"Ahmedabad West","Dr J G Parmar",M,57,SC,BMUP,Cot,2539,25,2564,1534400,60,NULL
2014,Gujarat,"Ahmedabad West","J J Mevada",M,59,SC,AAAP,Broom,17184,148,17332,1534400,61,NULL
2014,Gujarat,"Ahmedabad West","Aayar Muljibhai Khanabhai",M,44,SC,IND,Coconut,801,7,808,1534400,62,NULL
2014,Gujarat,"Ahmedabad West","Parmar Harjivanbhai Kalabhai",M,55,SC,IND,Batsman,806,1,807,1534400,63,NULL
2014,Gujarat,"Ahmedabad West","Solanki Rameshbhai Danabhai",M,52,SC,IND,Hat,1254,2,1256,1534400,64,NULL
2014,Gujarat,"Ahmedabad West","Solanki Vitthalbhai Maganbhai",M,53,SC,IND,"Ice Cream",2835,2,2837,1534400,65,NULL
2014,Gujarat,"Ahmedabad West",NOTA,Unknown,46,Unknown,NOTA,NOTA,16467,104,16571,1534400,66,NULL
2014,Rajasthan,Ajmer,Jagdish,M,49,SC,BSP,Elephant,7965,9,7974,1683261,67,NULL
2014,Rajasthan,Ajmer,"Sachin Pilot",M,36,GEN,INC,Hand,465072,819,465891,1683261,68,NULL
2014,Rajasthan,Ajmer,"Sanwar Lal Jat",M,59,GEN,BJP,Lotus,635990,1884,637874,1683261,69,NULL
2014,Rajasthan,Ajmer,"Sanwar Lal",M,30,GEN,NCP,Clock,12132,17,12149,1683261,70,NULL
2014,Rajasthan,Ajmer,"Mukul Mishra",M,47,GEN,ABHM,Coconut,1869,0,1869,1683261,71,NULL
2014,Rajasthan,Ajmer,Ramlal,M,50,SC,AKBAP,Balloon,1038,2,1040,1683261,72,NULL
2014,Rajasthan,Ajmer,"Anita Jain",F,46,GEN,IND,"Gas Stove",910,0,910,1683261,73,NULL
2014,Rajasthan,Ajmer,"Krishna Kumar Dadhich",M,27,GEN,IND,Batsman,1014,1,1015,1683261,74,NULL
2014,Rajasthan,Ajmer,"Jagdish Singh Rawat",M,54,GEN,IND,Bat,1374,0,1374,1683261,75,NULL
2014,Rajasthan,Ajmer,"Narain Das Sindhi",M,65,GEN,IND,Camera,3517,1,3518,1683261,76,NULL
2014,Rajasthan,Ajmer,"Bhanwar Lal Soni",M,57,GEN,IND,"Ceiling Fan",4970,0,4970,1683261,77,NULL
2014,Rajasthan,Ajmer,"Surendra Kumar Jain",M,46,GEN,IND,"Letter Box",5184,0,5184,1683261,78,NULL
2014,Rajasthan,Ajmer,NOTA,Unknown,46,Unknown,NOTA,NOTA,12534,12,12546,1683261,79,NULL
2014,"Uttar Pradesh",Akbarpur,"Anil Shukla Warsi",M,57,GEN,BSP,Elephant,202500,87,202587,1768635,80,NULL
2014,"Uttar Pradesh",Akbarpur,"Devendra Singh @ Bhole Singh",M,60,GEN,BJP,Lotus,481379,205,481584,1768635,81,NULL
2014,"Uttar Pradesh",Akbarpur,"Rajaram Pal",M,53,GEN,INC,Hand,96800,27,96827,1768635,82,NULL
2014,"Uttar Pradesh",Akbarpur,"Lal Singh Tomar",M,64,GEN,SP,Bicycle,146938,64,147002,1768635,83,NULL
2014,"Uttar Pradesh",Akbarpur,"Amar Singh",M,56,GEN,JPS,Saw,1890,0,1890,1768635,84,NULL
2014,"Uttar Pradesh",Akbarpur,"Arvind Kumar",M,47,GEN,AAAP,Broom,7909,5,7914,1768635,85,NULL
2014,"Uttar Pradesh",Akbarpur,"Dr. Omkar Nath Katiyar",M,47,GEN,ALHP,"Green Chilli",597,0,597,1768635,86,NULL
2014,"Uttar Pradesh",Akbarpur,"Gopi Raman",M,41,GEN,JD(U),Arrow,523,0,523,1768635,87,NULL
2014,"Uttar Pradesh",Akbarpur,"Jaswant Singh",M,25,GEN,BMUP,Cot,1037,0,1037,1768635,88,NULL
2014,"Uttar Pradesh",Akbarpur,"Dr. Bajarang Pratap Sonkar",M,52,SC,SARP,Scissors,799,0,799,1768635,89,NULL
2014,"Uttar Pradesh",Akbarpur,"Rama Kant Verma",M,37,GEN,PECP,"Ceiling Fan",1350,0,1350,1768635,90,NULL
2014,"Uttar Pradesh",Akbarpur,"Ramendra Singh Tomar",M,45,GEN,BSCP,FLUTE,2754,0,2754,1768635,91,NULL
2014,"Uttar Pradesh",Akbarpur,"Ashok Yadav",M,47,GEN,IND,Almirah,1853,0,1853,1768635,92,NULL
2014,"Uttar Pradesh",Akbarpur,"Neeraj Kumar Advocate",M,31,SC,IND,Kite,2259,0,2259,1768635,93,NULL
2014,"Uttar Pradesh",Akbarpur,"Bharti Devi Pasi Advocate",F,32,SC,IND,Chappals,5432,0,5432,1768635,94,NULL
2014,"Uttar Pradesh",Akbarpur,"Munni Devi",F,42,GEN,IND,BUCKET,5331,0,5331,1768635,95,NULL
2014,"Uttar Pradesh",Akbarpur,"Ram Sevak",M,63,SC,IND,"Gas Cylinder",3403,0,3403,1768635,96,NULL
2014,"Uttar Pradesh",Akbarpur,"Vijay Kumar Sharma",M,43,GEN,IND,"Black Board",4285,0,4285,1768635,97,NULL
2014,"Uttar Pradesh",Akbarpur,NOTA,Unknown,46,Unknown,NOTA,NOTA,3941,7,3948,1768635,98,NULL
2014,Maharashtra,Akola,"Bhai B.C. Kamble",M,45,SC,BSP,Elephant,7855,3,7858,1672643,99,NULL
2014,Maharashtra,Akola,"Dhotre Sanjay Shamrao",M,55,GEN,BJP,Lotus,455996,476,456472,1672643,100,NULL
2014,Maharashtra,Akola,"Patel Hidayat Ulla Barkat Ulla",M,55,GEN,INC,Hand,253055,301,253356,1672643,101,NULL
2014,Maharashtra,Akola,"Ajay Panjabrao Hingankar",M,44,GEN,AAAP,Broom,8069,7,8076,1672643,102,NULL
2014,Maharashtra,Akola,"Ambedkar Prakash Yashwant",M,59,GEN,BBM,"Cup & Saucer",238669,107,238776,1672643,103,NULL
2014,Maharashtra,Akola,"Shaikh Hameed Imam",M,58,GEN,BMUP,Cot,3989,2,3991,1672643,104,NULL
2014,Maharashtra,Akola,"Sandip Kisanrao Wankhede",M,25,SC,IND,Kite,3756,0,3756,1672643,105,NULL
2014,Maharashtra,Akola,NOTA,Unknown,46,Unknown,NOTA,NOTA,6200,6,6206,1672643,106,NULL
2014,Kerala,Alappuzha,"C B Chandrababu",M,53,GEN,CPM,"Hammer, Sickle and Star",441571,1547,443118,1271324,107,NULL
2014,Kerala,Alappuzha,"P V Natesan",M,57,SC,BSP,Elephant,3384,1,3385,1271324,108,NULL
2014,Kerala,Alappuzha,"K C Venugopal",M,51,GEN,INC,Hand,461101,1424,462525,1271324,109,NULL
2014,Kerala,Alappuzha,Prof.A.V.Thamarakshan,M,67,GEN,RSPK(B),"Gas Cylinder",43006,45,43051,1271324,110,NULL
2014,Kerala,Alappuzha,"Thulaseedharan Pallickal",M,45,SC,SDPI,"Ceiling Fan",10989,4,10993,1271324,111,NULL
2014,Kerala,Alappuzha,Adv.M.A.Bindu,F,43,GEN,SUCI,"Glass Tumbler",5918,3,5921,1271324,112,NULL
2014,Kerala,Alappuzha,"D Mohanan",M,59,GEN,AAAP,Broom,9373,41,9414,1271324,113,NULL
2014,Kerala,Alappuzha,"Chandrababu G",M,48,GEN,IND,"Plate Stand",1613,2,1615,1271324,114,NULL
2014,Kerala,Alappuzha,"Jayachandran Sarasamma",M,40,SC,IND,"Pen Nib with Seven Rays",481,0,481,1271324,115,NULL
2014,Kerala,Alappuzha,"M M Paulose",M,78,GEN,IND,"Battery Torch",402,0,402,1271324,116,NULL
2014,Kerala,Alappuzha,S.B.Basheer,M,65,GEN,IND,Pot,709,0,709,1271324,117,NULL
2014,Kerala,Alappuzha,"T S Balakrishnan",M,54,GEN,IND,Television,1363,0,1363,1271324,118,NULL
2014,Kerala,Alappuzha,"Venugopal P C",M,58,GEN,IND,Carrot,3148,1,3149,1271324,119,NULL
2014,Kerala,Alappuzha,NOTA,Unknown,46,Unknown,NOTA,NOTA,11321,17,11338,1271324,120,NULL
2014,Kerala,Alathur,Premakumari,F,43,SC,BSP,Elephant,4436,0,4436,1216351,121,NULL
2014,Kerala,Alathur,P.K.Biju,M,39,SC,CPM,"Hammer, Sickle and Star",411310,498,411808,1216351,122,NULL
2014,Kerala,Alathur,"Shaju Mon Vattekkad",M,39,SC,BJP,Lotus,87752,51,87803,1216351,123,NULL
2014,Kerala,Alathur,Sheeba,F,31,SC,INC,Hand,373992,504,374496,1216351,124,NULL
2014,Kerala,Alathur,"Krishnan Eranhikkal",M,42,SC,SDPI,"Ceiling Fan",7820,0,7820,1216351,125,NULL
2014,Kerala,Alathur,"Albin M U",M,25,SC,IND,"Glass Tumbler",5255,5,5260,1216351,126,NULL
2014,Kerala,Alathur,"Krishnankutty V",M,48,SC,IND,Television,932,0,932,1216351,127,NULL
2014,Kerala,Alathur,"R Biju",M,26,SC,IND,Shuttle,2159,0,2159,1216351,128,NULL
2014,Kerala,Alathur,"A Biju",M,36,SC,IND,Scissors,1692,0,1692,1216351,129,NULL
2014,Kerala,Alathur,"K Biju",M,30,SC,IND,Almirah,2911,0,2911,1216351,130,NULL
2014,Kerala,Alathur,"Vijayan Ambalakkad",M,47,SC,IND,"Black Board",2101,1,2102,1216351,131,NULL
2014,Kerala,Alathur,"K S Velayudhan",M,44,SC,IND,"Gas Cylinder",4392,0,4392,1216351,132,NULL
2014,Kerala,Alathur,NOTA,Unknown,46,Unknown,NOTA,NOTA,21398,19,21417,1216351,133,NULL
2014,"Uttar Pradesh",Aligarh,"Dr. Arvind Kumar Singh",M,25,GEN,BSP,Elephant,227884,2,227886,1793126,134,NULL
2014,"Uttar Pradesh",Aligarh,"Zafar Alam",M,69,GEN,SP,Bicycle,226284,0,226284,1793126,135,NULL
2014,"Uttar Pradesh",Aligarh,"Bijendra Singh",M,57,GEN,INC,Hand,62674,0,62674,1793126,136,NULL
2014,"Uttar Pradesh",Aligarh,"Satish Kumar",M,42,GEN,BJP,Lotus,514554,68,514622,1793126,137,NULL
2014,"Uttar Pradesh",Aligarh,"Amita Singh Jat",F,27,GEN,SSKP,"Auto- Rickshaw",3376,0,3376,1793126,138,NULL
2014,"Uttar Pradesh",Aligarh,"Durgesh Chandra Gautam",M,54,GEN,AITC,"Flowers and Grass",3076,0,3076,1793126,139,NULL
2014,"Uttar Pradesh",Aligarh,Devanand,M,53,GEN,LD,Scissors,785,0,785,1793126,140,NULL
2014,"Uttar Pradesh",Aligarh,"Pradeep Kumar",M,41,GEN,BMUP,Cot,626,0,626,1793126,141,NULL
2014,"Uttar Pradesh",Aligarh,Badshah,M,37,GEN,PECP,"Brief Case",978,0,978,1793126,142,NULL
2014,"Uttar Pradesh",Aligarh,"Rakesh Chandra Rawat",M,61,GEN,RSD,FLUTE,665,0,665,1793126,143,NULL
2014,"Uttar Pradesh",Aligarh,"Vinod Kumar Baghel",M,26,GEN,RSPS,Camera,1723,0,1723,1793126,144,NULL
2014,"Uttar Pradesh",Aligarh,"Mohd. Sabir Rahi",M,46,GEN,AAAP,Broom,8977,1,8978,1793126,145,NULL
2014,"Uttar Pradesh",Aligarh,"Natthi Lal Sharma",M,58,GEN,IND,Cauliflower,4659,0,4659,1793126,146,NULL
2014,"Uttar Pradesh",Aligarh,"Sanjay Kumar",M,27,GEN,IND,BELT,1842,0,1842,1793126,147,NULL
2014,"Uttar Pradesh",Aligarh,NOTA,Unknown,46,Unknown,NOTA,NOTA,6183,0,6183,1793126,148,NULL
2014,"West Bengal",Alipurduars,"Eliash Narjinary",M,62,ST,BSP,Elephant,11036,3,11039,1470911,149,NULL
2014,"West Bengal",Alipurduars,"Dasrath Tirkey",M,47,ST,AITC,"Flowers and Grass",361685,768,362453,1470911,150,NULL
2014,"West Bengal",Alipurduars,"Birendra Bara (Oraon)",M,31,ST,BJP,Lotus,335410,447,335857,1470911,151,NULL
2014,"West Bengal",Alipurduars,"Manohar Tirkey",M,60,ST,RSP,"Spade & Stoker",340119,937,341056,1470911,152,NULL
2014,"West Bengal",Alipurduars,"Joseph Munda",M,43,ST,INC,Hand,116618,100,116718,1470911,153,NULL
2014,"West Bengal",Alipurduars,"Ishabela Kujur",F,30,ST,RaJSP,Candles,5961,0,5961,1470911,154,NULL
2014,"West Bengal",Alipurduars,"Bilkan Bara",M,68,ST,SWJP,"Battery Torch",5339,1,5340,1470911,155,NULL
